srcType	srcSource	mappedType	mappedSource
ChEMBL	ChEBI		ChEMBL
ChemIDplus	ChEBI		ChemIDplus
IUPAC	ChEBI	IUPAC	ChEBI
Chemical Ontology	ChEBI	Chemical Ontology	ChEBI
DrugBank	ChEBI		DrugBank
DrugCentral	ChEBI		DrugCentral
HMDB	ChEBI		HMDB
KEGG COMPOUND	ChEBI		KEGG
KEGG DRUG	ChEBI		KEGG
LINCS	ChEBI		LINCS
MolBase	ChEBI		MolBase
NIST Chemistry WebBook	ChEBI	NIST Chemistry WebBook	ChEBI
PDBeChem	ChEBI		PDBeChem
SUBMITTER	ChEBI	submitted name	ChEBI
WHO MedNet	ChEBI	WHO MedNet	ChEBI
	ChEBI		ChEBI
ATC	ChEMBL	ATC	ChEMBL
BAN	ChEMBL	BAN	ChEMBL
BNF	ChEMBL	BNF	ChEMBL
DCF	ChEMBL	DCF	ChEMBL
FDA	ChEMBL	FDA	ChEMBL
INN	ChEMBL	INN	ChEMBL
JAN	ChEMBL	JAN	ChEMBL
MERCK_INDEX	ChEMBL	Merck index	ChEMBL
OTHER	ChEMBL		ChEMBL
RESEARCH_CODE	ChEMBL	research code	ChEMBL
SYSTEMATIC	ChEMBL	chemical name	ChEMBL
TRADE_NAME	ChEMBL	brand name	ChEMBL
USAN	ChEMBL	USAN	ChEMBL
USP	ChEMBL	USP	ChEMBL
	ChEMBL		ChEMBL
BAN	ChemBank	BAN	ChemBank
JAN	ChemBank	JAN	ChemBank
MeSH	ChemBank	MeSH	ChemBank
NSC	ChemBank	NSC	ChemBank
USAN	ChemBank	USAN	ChemBank
USP	ChemBank	USP	ChemBank
Virtual_ID	ChemBank	ChemBank virtual id	ChemBank
brand-name	ChemBank	brand name	ChemBank
chemical-name	ChemBank	chemical name	ChemBank
source-name	ChemBank	submitted name	ChemBank
vendor	ChemBank	vendor name	ChemBank
	ChemBank		ChemBank
inn	DrugBank	INN	DrugBank
international-brand	DrugBank	brand name	DrugBank
usan	DrugBank	USAN	DrugBank
ban	DrugBank	BAN	DrugBank
dcf	DrugBank	DCF	DrugBank
dcit	DrugBank	DCIT	DrugBank
usp	DrugBank	USP	DrugBank
iupac	DrugBank	IUPAC	DrugBank
jan	DrugBank	JAN	DrugBank
	DrugBank		DrugBank
	GtoPdb		GtoPdb
	HMDB		HMDB
Brand Name	Inxight:Drugs	brand name	Inxight:Drugs
Code	Inxight:Drugs	research code	Inxight:Drugs
Common Name	Inxight:Drugs	common name	Inxight:Drugs
Official Name	Inxight:Drugs	primary name	Inxight:Drugs
Systematic Name	Inxight:Drugs	chemical name	Inxight:Drugs
	Inxight:Drugs		Inxight:Drugs
IENECS	PubChem	IENECS	PubChem
INN	PubChem	INN	PubChem
IUPAC	PubChem	IUPAC	PubChem
NCS	PubChem	NCS	PubChem
depositor	PubChem	submitted name	PubChem
id	PubChem	identifier	PubChem
tradeName	PubChem	brand name	PubChem
	PubChem		PubChem
	Drug Repurposing Hub	primary name	Drug Repurposing Hub
	RxNorm		RxNorm
	STITCH		STITCH
