class	biolink_class
ChemicalSubstance	SmallMolecule
compound	SmallMolecule
chemical_substance	SmallMolecule
chemical substance	SmallMolecule
small molecule	SmallMolecule
SmallMolecule	SmallMolecule
Gene	Gene
gene	Gene
Disease	Disease
disease	Disease
Pathway	Pathway
pathway	Pathway
Protein	Protein
protein	Protein
Drug	Drug
drug	Drug
Assay	Assay
assay	Assay
MolecularEntity	MolecularEntity
molecular_entity	ChemicalEntity
ChemicalEntity	ChemicalEntity
GenomicEntity	NucleicAcidEntity
NucleicAcidEntity	NucleicAcidEntity
PhenotypicFeature	PhenotypicFeature
BiologicalEntity	BiologicalEntity
reaction	MolecularActivity
Reaction	MolecularActivity
MolecularActivity	MolecularActivity
BiologicalProcess	BiologicalProcess
CellularComponent	CellularComponent
