class	biolink_class
ChemicalSubstance	SmallMolecule
compound	SmallMolecule
chemical_substance	SmallMolecule
chemical substance	SmallMolecule
small molecule	SmallMolecule
SmallMolecule	SmallMolecule
Gene	Gene
gene	Gene
Disease	Disease
disease	Disease
Pathway	Pathway
pathway	Pathway
Protein	Protein
protein	Protein
Publication	Publication
publication	Publication
document	Publication
target	Target
Target	Target
Drug	Drug
drug	Drug
Assay	Assay
assay	Assay
MolecularEntity	MolecularEntity
molecular_entity	ChemicalEntity
ChemicalEntity	ChemicalEntity
GenomicEntity	NucleicAcidEntity
NucleicAcidEntity	NucleicAcidEntity
PhenotypicFeature	PhenotypicFeature
BiologicalEntity	BiologicalEntity
reaction	MolecularActivity
Reaction	MolecularActivity
MolecularActivity	MolecularActivity
BiologicalProcess	BiologicalProcess
CellularComponent	CellularComponent
unknown	ChemicalEntity
oligosaccharide	MolecularEntity
oligonucleotide	MolecularEntity
enzyme	Protein
antibody	ChemicalEntity
cell	Cell
GrossAnatomicalStructure	GrossAnatomicalStructure
OrganismTaxon	OrganismTaxon
Behavior	Behavior
CellLine	CellLine
ClinicalAttribute	ClinicalAttribute
Cohort	Cohort
MacromolecularComplexMixin	MacromolecularComplexMixin
Organism	Organism
PairwiseGeneToGeneInteraction	PairwiseGeneToGeneInteraction
OrganismEntity	OrganismEntity
Phenomenon	Phenomenon
PhysiologicalProcess	PhysiologicalProcess
PopulationOfIndividualOrganisms	PopulationOfIndividualOrganisms
Procedure	Procedure
ProteinComplex	ProteinComplex
ProteinFamily	ProteinFamily
