relation,biolink_predicate,inverse_predicate
is_a,subclass_of,superclass_of
has_role,subclass_of,superclass_of
has_part,has_part,part_of
has_functional_parent,chemically_similar_to,chemically_similar_to
is_conjugate_base_of,chemically_similar_to,chemically_similar_to
is_conjugate_acid_of,chemically_similar_to,chemically_similar_to
is_tautomer_of,chemically_similar_to,chemically_similar_to
has_parent_hydride,chemically_similar_to,chemically_similar_to
is_enantiomer_of,chemically_similar_to,chemically_similar_to
is_substituent_group_from,part_of,has_part
