name,value,Specific Action of the Ligand,Notes
Mechanism of Action,Tubulin inhibitor,Inhibition,
Mechanism of Action,Voltage-gated potassium channel blocker,Blocker,
Mechanism of Action,Gamma-secretase modulator,Modulator,
Mechanism of Action,Interleukin-2 receptor alpha chain antagonist,Antagonist,
Mechanism of Action,Glutamate [NMDA] receptor negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,T cell surface glycoprotein CD3 cross-linking agent,Cross-linking agent,brand new
Mechanism of Action,80S Ribosome inhibitor,Inhibition,
Mechanism of Action,Epidermal growth factor receptor erbB1 binding agent,Binding agent,
Mechanism of Action,Epidermal growth factor receptor erbB1 inhibitor,Inhibition,
Mechanism of Action,"Hepatitis C virus serine protease, NS3/NS4A inhibitor",Inhibition,
Mechanism of Action,Binding,Binding agent,
Mechanism of Action,Muscarinic acetylcholine receptor inhibitor,Inhibition,
Mechanism of Action,Tubulin stabiliser,Stabiliser,new
Mechanism of Action,Tyrosine-protein kinase receptor RET inhibitor,Inhibition,
Mechanism of Action,Dipeptidyl peptidase IV inhibitor,Inhibition,
Mechanism of Action,Casein kinase I epsilon inhibitor,Inhibition,
Mechanism of Action,Heat-stable enterotoxin receptor agonist,Agonist,
Mechanism of Action,Antagonist,Antagonist,
Mechanism of Action,Full agonist,Full agonist,
Mechanism of Action,Inhibition,Inhibition,
Mechanism of Action,Agonist,Agonist,
Mechanism of Action,None,,
Mechanism of Action,Partial agonist,Partial agonist,
Mechanism of Action,Positive,Positive,
Mechanism of Action,Negative,Negative,
Mechanism of Action,Slows inactivation,Slows inactivation,
Mechanism of Action,Arachidonate 5-lipoxygenase inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor ligand superfamily member 13B inhibitor,Inhibition,
Mechanism of Action,Bacterial 70S ribosome inhibitor,Inhibition,
Mechanism of Action,Neurotrophic tyrosine kinase receptor inhibitor,Inhibition,
Mechanism of Action,Cyclooxygenase-2 inhibitor,Inhibition,
Mechanism of Action,26S proteasome inhibitor,Inhibition,
Mechanism of Action,Nerve growth factor receptor Trk-A inhibitor,Inhibition,
Mechanism of Action,PI3-kinase p110-beta subunit inhibitor,Inhibition,
Mechanism of Action,Mitochondrial complex I (NADH dehydrogenase) inhibitor,Inhibition,
Mechanism of Action,Protein kinase C (PKC) inhibitor,Inhibition,
Mechanism of Action,Beta-3 adrenergic receptor agonist,Agonist,
Mechanism of Action,Prostate specific antigen binding agent,Binding agent,
Mechanism of Action,Kinesin-like protein 1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-6 binding agent,Binding agent,
Mechanism of Action,Serine/threonine-protein kinase AKT inhibitor,Inhibition,
Mechanism of Action,Equilibrative nucleoside transporter 1 inhibitor,Inhibition,
Mechanism of Action,Mu opioid receptor agonist,Agonist,
Mechanism of Action,Bradykinin B2 receptor antagonist,Antagonist,
Mechanism of Action,Carbonic anhydrase IV inhibitor,Inhibition,
Mechanism of Action,Matrix metalloproteinase 7 inhibitor,Inhibition,
Mechanism of Action,Adrenergic receptor alpha-2 agonist,Agonist,
Mechanism of Action,Cyclooxygenase inhibitor,Inhibition,
Mechanism of Action,SRC inhibitor,Inhibition,
Mechanism of Action,Vascular endothelial growth factor receptor 3 inhibitor,Inhibition,
Mechanism of Action,Glutamate [NMDA] receptor blocker,Blocker,
Mechanism of Action,Interleukin-12 inhibitor,Inhibition,
Mechanism of Action,Antithrombin-III inhibitor,Inhibition,
Mechanism of Action,Monoamine transporter inhibitor,Inhibition,
Mechanism of Action,Epithelial cell adhesion molecule cross-linking agent,Cross-linking agent,
Mechanism of Action,Thrombopoietin receptor agonist,Agonist,
Mechanism of Action,Polymerase acidic protein inhibitor,Inhibition,
Mechanism of Action,Inverse agonist,Inverse agonist,
Mechanism of Action,Activation,Activation,
Mechanism of Action,Serotonin 1b (5-HT1b) receptor agonist,Agonist,
Mechanism of Action,Progesterone receptor agonist,Agonist,
Mechanism of Action,Farnesyl diphosphate synthase inhibitor,Inhibition,
Mechanism of Action,Platelet-derived growth factor receptor inhibitor,Inhibition,
Mechanism of Action,Phosphodiesterase 3 inhibitor,Inhibition,
Mechanism of Action,Adrenergic receptor alpha antagonist,Antagonist,
Mechanism of Action,Sodium/potassium-transporting ATPase inhibitor,Inhibition,
Mechanism of Action,GABA-A receptor; anion channel agonist,Agonist,
Mechanism of Action,Adrenergic receptor agonist,Agonist,
Mechanism of Action,Potassium-transporting ATPase inhibitor,Inhibition,
Mechanism of Action,Androgen Receptor agonist,Agonist,
Mechanism of Action,Vasopressin receptor agonist,Agonist,
Mechanism of Action,Glutamate receptor ionotropic AMPA antagonist,Antagonist,
Mechanism of Action,Muscarinic acetylcholine receptor antagonist,Antagonist,
Mechanism of Action,Tyrosine-protein kinase receptor FLT3 inhibitor,Inhibition,
Mechanism of Action,GABA-A receptor; anion channel inverse agonist,Inverse agonist,
Mechanism of Action,T-cell surface glycoprotein CD3 epsilon chain other,Binding,
Mechanism of Action,"PARP 1, 2 and 3 inhibitor",Inhibition,
Mechanism of Action,26S proteosome inhibitor,Inhibition,
Mechanism of Action,DNA terminase inhibitor,Inhibition,
Mechanism of Action,Opioid receptors; mu/kappa/delta agonist,Agonist,
Mechanism of Action,Receptor tyrosine-protein kinase erbB-3 inhibitor,Inhibition,
Mechanism of Action,Sodium channel alpha subunit inhibitor,Inhibition,
Mechanism of Action,HIV-1 protease inhibitor,Inhibition,
Mechanism of Action,EML4-ALK inhibitor,Inhibition,
Mechanism of Action,Plasminogen activator,Activation,
Mechanism of Action,Voltage-gated potassium channel subunit Kv4.3 blocker,Blocker,
Mechanism of Action,Hepatitis A virus cellular receptor 2 inhibitor,Inhibition,
Mechanism of Action,Peroxisome proliferator-activated receptor alpha agonist,Agonist,
Mechanism of Action,11-beta-hydroxysteroid dehydrogenase 1 inhibitor,Inhibition,
Mechanism of Action,Soluble guanylate cyclase activator,Activation,
Mechanism of Action,Muscarinic acetylcholine receptor M3 antagonist,Antagonist,
Mechanism of Action,Serotonin 3 (5-HT3) receptor partial agonist,Partial agonist,
Mechanism of Action,Adrenergic receptor alpha-1 antagonist,Antagonist,
Mechanism of Action,B-raf/RAF proto-oncogene serine/threonine-protein kinase inhibitor,Inhibition,
Mechanism of Action,Voltage-gated calcium channel blocker,Blocker,new
Mechanism of Action,Sensitivity,Sensitivity,
Mechanism of Action,Coagulation factor XIII positive modulator,Positive modulator,
Mechanism of Action,Phosphodiesterase 9A inhibitor,Inhibition,
Mechanism of Action,Cardiac myosin inhibitor,Inhibition,
Mechanism of Action,pan-PI3K inhibitor,Inhibition,
Mechanism of Action,ER antagonist,Antagonist,
Mechanism of Action,Mixed,Mixed,
Mechanism of Action,TNF-alpha inhibitor,Inhibition,
Mechanism of Action,Serotonin 1a (5-HT1a) receptor partial agonist,Partial agonist,
Mechanism of Action,Antithrombin-III activator,Activation,
Mechanism of Action,HERG blocker,Blocker,
Mechanism of Action,Serotonin 1d (5-HT1d) receptor agonist,Agonist,
Mechanism of Action,Prostanoid FP receptor agonist,Agonist,
Mechanism of Action,Catechol O-methyltransferase inhibitor,Inhibition,
Mechanism of Action,Norepinephrine transporter releasing agent,Binding,
Mechanism of Action,Serotonin 1a (5-HT1a) receptor antagonist,Antagonist,
Mechanism of Action,Neurokinin 1 receptor antagonist,Antagonist,
Mechanism of Action,Adrenergic receptor beta antagonist,Antagonist,
Mechanism of Action,Monoamine oxidase inhibitor,Inhibition,
Mechanism of Action,Glutamate NMDA receptor; GRIN1/GRIN2B antagonist,Antagonist,
Mechanism of Action,Interleukin 11 receptor alpha agonist,Agonist,
Mechanism of Action,CRL4(CRBN) E3 ubiquitin ligase inhibitor,Inhibition,
Mechanism of Action,Angiopoietin-2 inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor ligand superfamily member 12 inhibitor,Inhibition,
Mechanism of Action,E2F inhibitor,Inhibition,
Mechanism of Action,mTORC1 activator,Activation,
Mechanism of Action,Tyrosine-protein kinase SYK inhibitor,Inhibition,
Mechanism of Action,GABA-A receptor; anion channel positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Sulfonylurea receptors; K-ATP channels opener,Opener,
Mechanism of Action,Cystic fibrosis transmembrane conductance regulator positive modulator,Positive modulator,
Mechanism of Action,Protein farnesyltransferase inhibitor,Inhibition,
Mechanism of Action,Muscle-type nicotinic acetylcholine receptor antagonist,Antagonist,
Mechanism of Action,Bromodomain and extra-terminal motif (BET) inhibitor,Inhibition,
Mechanism of Action,ATP-citrate synthase inhibitor,Inhibition,
Mechanism of Action,Poly [ADP-ribose] polymerase 2 inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 9 agonist,Agonist,
Mechanism of Action,Hydroxycarboxylic acid receptor 2 agonist,Agonist,new
Mechanism of Action,Tubulin disrupting agent,Disruption,
Mechanism of Action,Glucagon-like peptide 1 receptor agonist,Agonist,
Mechanism of Action,Topoisomerase IV inhibitor,Inhibition,
Mechanism of Action,DNA polymerase/reverse transcriptase inhibitor,Inhibition,
Mechanism of Action,Tumor necrosis factor ligand superfamily member 14 inhibitor,Inhibition,
Mechanism of Action,VEGFR inhibitor,Inhibition,
Mechanism of Action,Voltage-gated T-type calcium channel blocker,Blocker,
Mechanism of Action,Dihydrofolate reductase inhibitor,Inhibition,
Mechanism of Action,"3',5'-cyclic phosphodiesterase inhibitor",Inhibition,
Mechanism of Action,Prostanoid IP receptor agonist,Agonist,
Mechanism of Action,Tyrosine-protein kinase TIE-2 inhibitor,Inhibition,
Mechanism of Action,Glutamate [NMDA] receptor antagonist,Antagonist,
Mechanism of Action,Interleukin-13 inhibitor,Inhibition,
Mechanism of Action,Mucin-16 other,Binding,
Mechanism of Action,20S proteosome inhibitor,Inhibition,
Mechanism of Action,Gamma-secretase inhibitor,Inhibition,
Mechanism of Action,Blood group Rh(D) polypeptide inhibitor,Inhibition,
Mechanism of Action,"Endothelin receptor, ET-A/ET-B antagonist",Antagonist,
Mechanism of Action,Serotonin (5-HT) receptor antagonist,Antagonist,
Mechanism of Action,Mineralocorticoid receptor antagonist,Antagonist,
Mechanism of Action,B-lymphocyte antigen CD19 binding agent,Binding agent,
Mechanism of Action,Carbonic anhydrase inhibitor,Inhibition,
Mechanism of Action,DNA-directed RNA polymerase III subunit RPC1 inhibitor,Inhibition,
Mechanism of Action,Irreversible inhibition,Irreversible inhibition,
Mechanism of Action,Neutral,Binding,
Mechanism of Action,Pore blocker,Blocker,
Mechanism of Action,Vasopressin V2 receptor antagonist,Antagonist,
Mechanism of Action,Somatostatin receptor 2 agonist,Agonist,
Mechanism of Action,Erythropoietin receptor agonist,Agonist,
Mechanism of Action,Histamine H1 receptor antagonist,Antagonist,
Mechanism of Action,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Inhibition,
Mechanism of Action,DNA (cytosine-5)-methyltransferase 3A inhibitor,Inhibition,
Mechanism of Action,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,Inhibition,
Mechanism of Action,Cholinesterases; ACHE & BCHE inhibitor,Inhibition,
Mechanism of Action,Synaptosomal-associated protein 25 inhibitor,Inhibition,new
Mechanism of Action,Collagen hydrolytic enzyme,Binding,
Mechanism of Action,Adenosine receptor antagonist,Antagonist,
Mechanism of Action,Serine/threonine-protein kinase Aurora-B inhibitor,Inhibition,
Mechanism of Action,Platelet-derived growth factor receptor beta inhibitor,Inhibition,
Mechanism of Action,Ghrelin receptor agonist,Agonist,
Mechanism of Action,Thromboxane A2 receptor antagonist,Antagonist,
Mechanism of Action,Histone deacetylase 11 inhibitor,Inhibition,
Mechanism of Action,Renal dipeptidase inhibitor,Inhibition,
Mechanism of Action,Cytochrome P450 11B1 inhibitor,Inhibition,
Mechanism of Action,Xanthine dehydrogenase inhibitor,Inhibition,
Mechanism of Action,Hexokinase type IV activator,Activation,
Mechanism of Action,Histamine H3 receptor antagonist,Antagonist,
Mechanism of Action,Kappa opioid receptor agonist,Agonist,
Mechanism of Action,Asialoglycoprotein receptor 1 binding agent,Binding agent,
Mechanism of Action,80S Ribosome modulator,Modulator,
Mechanism of Action,Serotonin 3 (5-HT3) receptor antagonist,Antagonist,
Mechanism of Action,Nuclear factor erythroid 2-related factor 2 activator,Activation,
Mechanism of Action,"Anti-angiogenic., VEGF antagonist",Antagonist,
Mechanism of Action,Anti-angiogenic.,Binding,
Mechanism of Action,Potentiation,Potentiation,
Mechanism of Action,Muscarinic acetylcholine receptor M1 antagonist,Antagonist,
Mechanism of Action,Beta-1 adrenergic receptor antagonist,Antagonist,
Mechanism of Action,GABA-A receptor; agonist GABA site agonist,Agonist,
Mechanism of Action,P2X purinoceptor 7 antagonist,Antagonist,
Mechanism of Action,Estrogen receptor modulator,Modulator,
Mechanism of Action,Vasopressin V1a receptor agonist,Agonist,
Mechanism of Action,Serotonin transporter inhibitor,Inhibition,
Mechanism of Action,PI3-kinase p110-alpha subunit inhibitor,Inhibition,
Mechanism of Action,HMG-CoA reductase inhibitor,Inhibition,
Mechanism of Action,TEC family kinase inhibitor,Inhibition,
Mechanism of Action,Insulin receptor agonist,Agonist,
Mechanism of Action,Programmed cell death protein 1 antagonist,Antagonist,
Mechanism of Action,Cytochrome P450 3A inhibitor,Inhibition,
Mechanism of Action,Tryptophan 5-hydroxylase inhibitor,Inhibition,
Mechanism of Action,Egl nine homolog 1 inhibitor,Inhibition,
Mechanism of Action,GABA-A receptor; anion channel antagonist,Antagonist,
Mechanism of Action,EML4-ALK,Binding,
Mechanism of Action,Cytotoxic T-lymphocyte protein 4 inhibitor,Inhibition,new
Mechanism of Action,Resistance,Binding,
Mechanism of Action,Interferon alpha/beta receptor agonist,Agonist,
Mechanism of Action,Hepatocyte growth factor receptor inhibitor,Inhibition,
Mechanism of Action,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Inhibition,
Mechanism of Action,Stem cell growth factor receptor inhibitor,Inhibition,
Mechanism of Action,Corticotropin releasing factor receptor 1 antagonist,Antagonist,
Mechanism of Action,Biased agonist,Biased agonist,
Mechanism of Action,Competitive,Competitive binding,
Mechanism of Action,Carbonic anhydrase II inhibitor,Inhibition,
Mechanism of Action,Secretin receptor agonist,Agonist,
Mechanism of Action,Fatty acid synthase inhibitor,Inhibition,
Mechanism of Action,Ribonucleoside-diphosphate reductase RR1 inhibitor,Inhibition,
Mechanism of Action,GABA-B receptor agonist,Agonist,
Mechanism of Action,Interleukin-2 receptor binding agent,Binding agent,
Mechanism of Action,Betaine-homocysteine S-methyltransferase substrate,Substrate,
Mechanism of Action,Tyrosine-protein kinase FYN inhibitor,Inhibition,
Mechanism of Action,Glutamate [NMDA] receptor partial agonist,Partial agonist,
Mechanism of Action,Leukocyte adhesion glycoprotein LFA-1 alpha inhibitor,Inhibition,
Mechanism of Action,Aminopeptidase inhibitor,Inhibition,
Mechanism of Action,Vimentin other,Binding,
Mechanism of Action,Thyroid peroxidase inhibitor,Inhibition,
Mechanism of Action,Interleukin-6 inhibitor,Inhibition,
Mechanism of Action,Follicle stimulating hormone receptor agonist,Agonist,
Mechanism of Action,Cholesteryl ester transfer protein inhibitor,Inhibition,
Mechanism of Action,Coagulation factor III binding agent,Binding agent,
Mechanism of Action,"Interleukin-8 receptors, CXCR1/CXCR2 inhibitor",Inhibition,
Mechanism of Action,Fibroblast growth factor receptor 3 inhibitor,Inhibition,
Mechanism of Action,Thymidylate synthase inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-4 inhibitor,Inhibition,
Mechanism of Action,Endothelin-converting enzyme 1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-18 inhibitor,Inhibition,
Mechanism of Action,KCNQ (Kv7) potassium channel opener,Opener,
Mechanism of Action,CBP/beta catenin inhibitor,Inhibition,
Mechanism of Action,Epidermal growth factor receptor erbB1 antagonist,Antagonist,
Mechanism of Action,Nociceptin receptor antagonist,Antagonist,
Mechanism of Action,Somatostatin receptor 5 agonist,Agonist,
Mechanism of Action,Norepinephrine transporter substrate,Substrate,
Mechanism of Action,PARP inhibitor,Inhibition,
Mechanism of Action,Muscarinic acetylcholine receptor M1 agonist,Agonist,
Mechanism of Action,T-cell receptor inhibitor,Inhibition,
Mechanism of Action,Cyclophilin A inhibitor,Inhibition,
Mechanism of Action,Janus Kinase (JAK) inhibitor,Inhibition,
Mechanism of Action,Dopamine receptor agonist,Agonist,
Mechanism of Action,Sodium channel protein type VIII alpha subunit inhibitor,Inhibition,
Mechanism of Action,RNA processing inhibitor and thymidylate synthase inhibitor,Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor; alpha3/beta4 negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Kappa opioid receptor partial agonist,Partial agonist,
Mechanism of Action,D2-like dopamine receptor antagonist,Antagonist,
Mechanism of Action,Androgen Receptor antagonist,Antagonist,
Mechanism of Action,PI3-kinase p110-delta subunit inhibitor,Inhibition,
Mechanism of Action,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Inhibition,
Mechanism of Action,Adenosine A2a receptor antagonist,Antagonist,
Mechanism of Action,Serotonin 4 (5-HT4) receptor agonist,Agonist,
Mechanism of Action,Heat shock protein HSP90 inhibitor,Inhibition,
Mechanism of Action,Serotonin (5-HT) receptor agonist,Agonist,
Mechanism of Action,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,Blocker,
Mechanism of Action,Macrophage migration inhibitory factor inhibitor,Inhibition,
Mechanism of Action,"Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform inhibitor",Inhibition,
Mechanism of Action,Matrix metalloproteinase 14 inhibitor,Inhibition,
Mechanism of Action,Dopamine D2 receptor antagonist,Antagonist,
Mechanism of Action,Glycine receptor (alpha-1/beta) agonist,Agonist,
Mechanism of Action,Sphingosine 1-phosphate receptor agonist,Agonist,
Mechanism of Action,Peroxisome proliferator-activated receptor gamma agonist,Agonist,
Mechanism of Action,Serine/threonine-protein kinase receptor R3 inhibitor,Inhibition,
Mechanism of Action,Insulin-like growth factor I receptor inhibitor,Inhibition,
Mechanism of Action,Endothelin receptor ET-A antagonist,Antagonist,
Mechanism of Action,Thrombin inhibitor,Inhibition,
Mechanism of Action,Trophoblast glycoprotein other,Binding,
Mechanism of Action,Interleukin-1 receptor antagonist,Antagonist,
Mechanism of Action,Alcohol dehydrogenase inhibitor,Inhibition,
Mechanism of Action,C-C chemokine receptor type 4 cross-linking agent,Cross-linking agent,
Mechanism of Action,Subtilisin/kexin type 9 inhibitor,Inhibition,
Mechanism of Action,Acetyl-CoA carboxylase inhibitor,Inhibition,
Mechanism of Action,Egl nine homolog 3 inhibitor,Inhibition,
Mechanism of Action,Growth arrest-specific protein 6 inhibitor,Inhibition,
Mechanism of Action,Matrix metalloproteinase 13 inhibitor,Inhibition,
Mechanism of Action,"VEGFR, FGFR, PDGFR, and FLT3 inhibitor",Inhibition,
Mechanism of Action,WEE1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-23 inhibitor,Inhibition,
Mechanism of Action,Epidermal growth factor receptor inhibitor,Inhibition,
Mechanism of Action,Type-1 angiotensin II receptor antagonist,Antagonist,
Mechanism of Action,Thyroid hormone receptor agonist,Agonist,
Mechanism of Action,Interleukin-1 receptor inhibitor,Inhibition,
Mechanism of Action,Mucin-16 binding agent,Binding agent,
Mechanism of Action,Kappa opioid receptor antagonist,Antagonist,
Mechanism of Action,Sarcoplasmic/endoplasmic reticulum calcium ATPase inhibitor,Inhibition,
Mechanism of Action,Carbonic anhydrase XII inhibitor,Inhibition,
Mechanism of Action,Dopamine receptor antagonist,Antagonist,
Mechanism of Action,Microtubule-associated protein tau inhibitor,Inhibition,
Mechanism of Action,Voltage-gated T-type calcium channel modulator,Modulator,
Mechanism of Action,Glutamate receptor ionotropic kainate antagonist,Antagonist,
Mechanism of Action,Gastric lipase inhibitor,Inhibition,
Mechanism of Action,Glucagon receptor agonist,Agonist,
Mechanism of Action,Melanocortin receptor 1 agonist,Agonist,
Mechanism of Action,Steroid 5-alpha-reductase inhibitor,Inhibition,
Mechanism of Action,Amidophosphoribosyltransferase inhibitor,Inhibition,
Mechanism of Action,DNA polymerase (alpha/delta/epsilon) inhibitor,Inhibition,
Mechanism of Action,Ceramide glucosyltransferase inhibitor,Inhibition,
Mechanism of Action,Tyrosine-protein kinase SRC inhibitor,Inhibition,
Mechanism of Action,Smoothened homolog antagonist,Antagonist,
Mechanism of Action,C-C chemokine receptor type 5 antagonist,Antagonist,
Mechanism of Action,Macrophage colony stimulating factor receptor inhibitor,Inhibition,
Mechanism of Action,Serotonin 1a (5-HT1a) receptor agonist,Agonist,
Mechanism of Action,Histone deacetylase inhibitor,Inhibition,
Mechanism of Action,Caspase inhibitor,Inhibition,
Mechanism of Action,Cannabinoid CB1 receptor negative allosteric modulator,Negative allosteric modulator,
Mechanism of Action,Integrin alpha-V/beta-3 antagonist,Antagonist,
Mechanism of Action,Integrin alpha-IIb/beta-3 antagonist,Antagonist,
Mechanism of Action,Epithelial cell adhesion molecule binding agent,Binding agent,
Mechanism of Action,Interferon alpha inhibitor,Inhibition,
Mechanism of Action,Estrogen receptor agonist,Agonist,
Mechanism of Action,Melatonin receptor agonist,Agonist,
Mechanism of Action,Tyrosine-protein kinase BTK inhibitor,Inhibition,
Mechanism of Action,Glutamate [NMDA] receptor subunit epsilon 1 antagonist,Antagonist,
Mechanism of Action,Adrenergic receptor alpha-1 agonist,Agonist,
Mechanism of Action,Muscarinic acetylcholine receptor M2 antagonist,Antagonist,
Mechanism of Action,Tyrosine-protein kinase JAK2 inhibitor,Inhibition,
Mechanism of Action,Frizzled-5 antagonist,Antagonist,
Mechanism of Action,Vascular endothelial growth factor receptor 2 inhibitor,Inhibition,
Mechanism of Action,Gonadotropin-releasing hormone receptor antagonist,Antagonist,
Mechanism of Action,GABA-A receptor; anion channel partial agonist,Partial agonist,
Mechanism of Action,Tumor necrosis factor receptor superfamily member 10B agonist,Agonist,
Mechanism of Action,Vascular endothelial growth factor C inhibitor,Inhibition,
Mechanism of Action,Integrin beta-2 negative modulator,Negative modulator,
Mechanism of Action,"Carnitine O-palmitoyltransferase 1, muscle isoform inhibitor",Inhibition,
Mechanism of Action,Carcinoembryonic antigen-related cell adhesion molecule 5 binding agent,Binding agent,
Mechanism of Action,Glutamate carboxypeptidase II binding agent,Binding agent,
Mechanism of Action,Placenta growth factor inhibitor,Inhibition,
Mechanism of Action,Toll-like receptor 7 agonist,Agonist,
Mechanism of Action,Kelch-like ECH-associated protein 1 inhibitor,Inhibition,
Mechanism of Action,Interleukin-1 receptor-associated kinase 4 inhibitor,Inhibition,
Mechanism of Action,Bile acid receptor FXR agonist,Agonist,
Mechanism of Action,Ileal bile acid transporter inhibitor,Inhibition,
Mechanism of Action,Tubulin beta inhibitor,Inhibition,
Mechanism of Action,Insulin-like growth factor II inhibitor,Inhibition,
Mechanism of Action,Cathepsin K inhibitor,Inhibition,
Mechanism of Action,RAF serine/threonine protein kinase inhibitor,Inhibition,
Mechanism of Action,Interleukin-17F inhibitor,Inhibition,
Mechanism of Action,IL-2R beta/gamma agonist,Agonist,
Mechanism of Action,DNA topoisomerase I inhibitor,Inhibition,
Mechanism of Action,Autotaxin inhibitor,Inhibition,
Mechanism of Action,Innate repair receptor agonist,Agonist,
Mechanism of Action,Vasopressin V2 receptor binding agent,Binding agent,
Mechanism of Action,Vasopressin V2 receptor agonist,Agonist,
Mechanism of Action,DNA topoisomerase II inhibitor,Inhibition,
Mechanism of Action,Estrogen receptor alpha modulator,Modulator,
Mechanism of Action,Protein tyrosine kinase 2 beta inhibitor,Inhibition,
Mechanism of Action,Epidermal growth factor receptor erbB1 vaccine antigen,Vaccine antigen,
Mechanism of Action,Synaptosomal nerve-associated protein 25 (SNAP-25) inhibitor,Inhibition,
Mechanism of Action,Cytochrome P450 17A1 inhibitor,Inhibition,
Mechanism of Action,P-glycoprotein 1 inhibitor,Inhibition,
Mechanism of Action,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-5/beta-1 antagonist,Antagonist,
Mechanism of Action,Serotonin 2 (5-HT2) receptor,Binding,
Mechanism of Action,CTLA-4 antagonist,Antagonist,
Mechanism of Action,Interleukin-2 receptor inhibitor,Inhibition,
Mechanism of Action,Cyclin-dependent kinase 1 inhibitor,Inhibition,
Mechanism of Action,Fibroblast growth factor receptor 2 inhibitor,Inhibition,
Mechanism of Action,Sodium channel protein type IX alpha subunit blocker,Blocker,
Mechanism of Action,Glutamate receptor ionotropic AMPA positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,Serine/threonine-protein kinase Aurora inhibitor,Inhibition,
Mechanism of Action,C-X-C chemokine receptor type 4 antagonist,Antagonist,
Mechanism of Action,Adenosine A2a receptor agonist,Agonist,
Mechanism of Action,"Amiloride-sensitive sodium channel, ENaC blocker",Blocker,
Mechanism of Action,Peroxisome proliferator-activated receptor gamma partial agonist,Partial agonist,
Mechanism of Action,Carbonic anhydrase IX binding agent,Binding agent,
Mechanism of Action,Folate receptor alpha binding agent,Binding agent,
Mechanism of Action,High mobility group protein B1 inhibitor,Inhibition,
Mechanism of Action,HDAC inhibitor,Inhibition,
Mechanism of Action,Neuronal acetylcholine receptor; alpha3/beta4 antagonist,Antagonist,
Mechanism of Action,Glycine receptor (alpha-1/beta) positive modulator,Positive modulator,
Mechanism of Action,GABA-A receptor; anion channel allosteric antagonist,Antagonist,
Mechanism of Action,C-C chemokine receptor type 2 antagonist,Antagonist,
Mechanism of Action,Cyclin-dependent kinase 6 inhibitor,Inhibition,
Mechanism of Action,Rho-associated protein kinase inhibitor,Inhibition,
Mechanism of Action,Interleukin-4 inhibitor,Inhibition,
