name,value,Specific Action of the Ligand,Notes
Mechanism of Action,Dopamine D2 receptor agonist,Binding agent,
Mechanism of Action,Cytochrome P450 19A1 inhibitor,Inhibition,
Mechanism of Action,Serotonin 2a (5-HT2a) receptor antagonist,Antagonist,
Mechanism of Action,Mu opioid receptor antagonist,Antagonist,
Mechanism of Action,Glucocorticoid receptor agonist,Agonist,
Mechanism of Action,Norepinephrine transporter inhibitor,Inhibition,
Mechanism of Action,Voltage-gated N-type calcium channel alpha-1B subunit blocker,Blocker,new
Mechanism of Action,Phosphodiesterase 4 inhibitor,Inhibition,
Mechanism of Action,Integrin alpha-IIb/beta-3 inhibitor,Inhibition,
Mechanism of Action,Adrenergic receptor alpha agonist,Agonist,
Mechanism of Action,Voltage-gated L-type calcium channel blocker,Blocker,new
Mechanism of Action,Beta-2 adrenergic receptor agonist,Agonist,
Mechanism of Action,Beta-2 adrenergic receptor antagonist,Antagonist,
Mechanism of Action,Laminin hydrolytic enzyme,Binding,
Mechanism of Action,GABA-A receptor; anion channel positive allosteric modulator,Positive allosteric modulator,
Mechanism of Action,GABA-A receptor; anion channel positive modulator,Positive modulator,
Mechanism of Action,Luteinizing hormone/Choriogonadotropin receptor agonist,Agonist,
Mechanism of Action,Potassium channel subfamily K member 18 opener,Opener,
Mechanism of Action,Sodium channel alpha subunit blocker,Blocker,
Mechanism of Action,D2-like dopamine receptor agonist,Agonist,
Mechanism of Action,PI3-kinase class I inhibitor,Inhibition,
Mechanism of Action,Receptor protein-tyrosine kinase erbB-2 inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase PLK1 inhibitor,Inhibition,
Mechanism of Action,Serine/threonine-protein kinase mTOR inhibitor,Inhibition,
Mechanism of Action,Cyclin-dependent kinase inhibitor,Inhibition,
Mechanism of Action,Vascular endothelial growth factor receptor inhibitor,Inhibition,
Mechanism of Action,Interleukin-6 receptor alpha subunit antagonist,Antagonist,
Mechanism of Action,Fibroblast growth factor receptor inhibitor,Inhibition,
Mechanism of Action,Voltage-gated calcium channel modulator,Modulator,
