Specific Action of the Ligand,biolinkPredicate,inversePredicate,qualifiedPredicate,inverseQualifiedPredicate,qualifier_1,qualifier_2,qualifier_3
Activation,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:activation
Agonist,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:agonism
Antagonist,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:antagonism
Biased agonist,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:biased_agonism
Binding,biolink:directly_physically_interacts_with,biolink:directly_physically_interacts_with,,,,,
Binding agent,biolink:directly_physically_interacts_with,biolink:directly_physically_interacts_with,,,,,
Blocker,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:molecular_channel_blockage
Competitive binding,biolink:directly_physically_interacts_with,biolink:directly_physically_interacts_with,,,causal_mechanism_qualifier:competition,,
Cross-linking agent,biolink:directly_physically_interacts_with,biolink:directly_physically_interacts_with,,,causal_mechanism_qualifier:crosslinking,,
Degrader,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:degradation,object_direction_qualifier:increased,
Disruption,biolink:disrupts,biolink:disrupted_by,,,object_aspect_qualifier:disruption,,
Feedback inhibition,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:feedback_inhibition
Full agonist,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:full_agonism
Inhibition,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:inhibition
Inverse agonist,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:inverse_agonism
Irreversible inhibition,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:irreversible_inhibition
Mixed,biolink:affects,biolink:affected_by,,,object_aspect_qualifier:activity,,
Modulator,biolink:affects,biolink:affected_by,,,object_aspect_qualifier:activity,causal_mechanism_qualifier:modulation,
Negative,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,
Negative allosteric modulator,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:negative_allosteric_modulation
Negative modulator,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:negative_modulation
Non-competitive binding,biolink:directly_physically_interacts_with,biolink:directly_physically_interacts_with,,,causal_mechanism_qualifier:non-competition,,
Opener,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:molecular_channel_opening
Partial agonist,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:partial_agonism
Positive,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,
Positive allosteric modulator,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:positive_allosteric_modulation
Positive modulator,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:positive_modulation
Potentiation,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:increased,causal_mechanism_qualifier:potentiation
Regulation blocker,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:regulation,object_direction_qualifier:decreased,causal_mechanism_qualifier:regulation_blockage
Releasing agent,biolink:affects,biolink:affected_by,,,object_aspect_qualifier:transport,causal_mechanism_qualifier:releasing_agent,
Sensitivity,biolink:affects,biolink:affected_by,,,object_aspect_qualifier:sensitivity,,
Slows inactivation,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:activity,object_direction_qualifier:decreased,causal_mechanism_qualifier:molecular_channel_inactivation
Stabiliser,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:stability,object_direction_qualifier:increased,
Stimulator,biolink:affects,biolink:affected_by,biolink:causes,biolink:caused_by,object_aspect_qualifier:stability,object_direction_qualifier:increased,causal_mechanism_qualifier:stimulation
Substrate,biolink:is_substrate_of,biolink:has_substrate,,,,,
Vaccine antigen,biolink:affects,biolink:affected_by,,,causal_mechanism_qualifier:vaccine_antigen,,
